number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
84,0.25326740741729736,2023-09-05 14:38:18.961680,2023-09-05 14:38:19.404709,0 days 00:00:00.443029,Tanh,ReLU,Sigmoid,Tanh,,48,23,20.0,9.0,16.0,,0.0299254647231956,4,299,0.7007917563932277,1.647891915775276e-05,209.03721200852166,COMPLETE
85,0.315581351518631,2023-09-05 14:38:19.405000,2023-09-05 14:38:19.680407,0 days 00:00:00.275407,Tanh,ReLU,Sigmoid,Tanh,,48,23,20.0,9.0,15.0,,0.03200234462917627,4,298,0.5569162202001885,1.622998383161282e-05,185.56642786661783,COMPLETE
86,0.4536677300930023,2023-09-05 14:38:19.680687,2023-09-05 14:38:20.123350,0 days 00:00:00.442663,Tanh,ReLU,Sigmoid,Tanh,,56,2,21.0,7.0,17.0,,0.026826780696509088,4,258,0.7114240594244624,2.3197365891747102e-05,255.22462359341708,COMPLETE
87,0.39791592955589294,2023-09-05 14:38:20.123634,2023-09-05 14:38:20.484265,0 days 00:00:00.360631,Tanh,ReLU,ReLU,Tanh,Sigmoid,45,24,19.0,9.0,16.0,20.0,0.04270102001092865,5,282,0.6508491642769202,1.3667090308052552e-05,242.74695485432943,COMPLETE
88,0.36471226811408997,2023-09-05 14:38:20.484557,2023-09-05 14:38:20.809600,0 days 00:00:00.325043,Tanh,ReLU,Leaky,Tanh,,49,21,22.0,7.0,18.0,,0.0578668421851635,4,289,0.7022901039821701,2.533110693582316e-05,391.35338236490884,COMPLETE
89,0.2709527611732483,2023-09-05 14:38:20.809880,2023-09-05 14:38:21.763286,0 days 00:00:00.953406,Tanh,Leaky,Sigmoid,Tanh,,23,11,24.0,16.0,14.0,,0.019612179860521037,4,275,0.7589201658236144,3.970087148089969e-05,151.679916706491,COMPLETE
90,0.3262195289134979,2023-09-05 14:38:21.763577,2023-09-05 14:38:22.112689,0 days 00:00:00.349112,Tanh,Tanh,Sigmoid,Tanh,,25,12,24.0,16.0,14.0,,0.02953072501846169,4,269,0.7423117618885497,3.641106045180417e-05,841.1491173638237,COMPLETE
91,0.27872908115386963,2023-09-05 14:38:22.112980,2023-09-05 14:38:22.744151,0 days 00:00:00.631171,Tanh,Leaky,Sigmoid,Tanh,,52,11,24.0,18.0,16.0,,0.020310686884194427,4,305,0.7547860241474486,1.8944166618153516e-05,200.99302978515624,COMPLETE
92,0.27733394503593445,2023-09-05 14:38:22.744427,2023-09-05 14:38:23.581395,0 days 00:00:00.836968,Tanh,Leaky,Sigmoid,Tanh,,18,14,23.0,15.0,14.0,,0.014386479157930116,4,322,0.5985842066134847,4.2385327438165335e-05,312.9059593563988,COMPLETE
93,0.41982993483543396,2023-09-05 14:38:23.581695,2023-09-05 14:38:24.675448,0 days 00:00:01.093753,Tanh,Leaky,Sigmoid,Tanh,,15,9,21.0,19.0,19.0,,0.03686109704435426,4,235,0.7071260324652525,1.2061247119027608e-05,292.5053638458252,COMPLETE
