number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
83,0.16918319463729858,2023-08-31 23:21:49.470726,2023-08-31 23:22:25.983773,0 days 00:00:36.513047,Leaky,Leaky,Leaky,Sigmoid,,4,15,22.0,14.0,22.0,,0.0013088518959724143,4,100,0.713336902701064,2.914921716501057e-05,COMPLETE
84,0.17944833636283875,2023-08-31 23:22:25.984060,2023-08-31 23:23:00.826595,0 days 00:00:34.842535,Leaky,Leaky,Leaky,Sigmoid,,4,15,20.0,14.0,22.0,,0.0012317790535967522,4,100,0.6682062236495975,3.000764778023366e-05,COMPLETE
85,0.18256229162216187,2023-08-31 23:23:00.826894,2023-08-31 23:23:32.490449,0 days 00:00:31.663555,Leaky,Leaky,Leaky,Sigmoid,,4,15,19.0,15.0,22.0,,0.0011887648602425483,4,100,0.6187902670074935,3.277680154434275e-05,COMPLETE
86,0.20361319184303284,2023-08-31 23:23:32.490734,2023-08-31 23:24:03.957114,0 days 00:00:31.466380,Leaky,Leaky,Leaky,Sigmoid,,4,15,19.0,15.0,22.0,,0.0019664048427389656,4,100,0.6197278333730148,3.0452605283009128e-05,COMPLETE
87,0.17444954812526703,2023-08-31 23:24:03.957400,2023-08-31 23:24:42.720362,0 days 00:00:38.762962,Leaky,ReLU,Leaky,Sigmoid,,4,16,21.0,14.0,22.0,,0.001028141287702112,4,100,0.7662318979670634,2.3666000259363687e-05,COMPLETE
88,0.20746102929115295,2023-08-31 23:24:42.720652,2023-08-31 23:25:06.393054,0 days 00:00:23.672402,Leaky,ReLU,ReLU,Sigmoid,,4,14,21.0,14.0,23.0,,0.0008823008886839041,4,60,0.7637970561445685,2.1905542433330964e-05,COMPLETE
89,0.3329102694988251,2023-08-31 23:25:06.393342,2023-08-31 23:25:40.762882,0 days 00:00:34.369540,Leaky,ReLU,Leaky,Sigmoid,,4,16,1.0,16.0,20.0,,0.002705432329439659,4,100,0.6693020315825428,1.7638867206743684e-05,COMPLETE
90,0.16540144383907318,2023-08-31 23:25:40.763171,2023-08-31 23:26:20.405460,0 days 00:00:39.642289,Tanh,ReLU,Sigmoid,Sigmoid,,4,13,23.0,14.0,24.0,,0.001995561644125495,4,100,0.7698424256275388,4.1440639862505784e-05,COMPLETE
91,0.16226322948932648,2023-08-31 23:26:20.405751,2023-08-31 23:26:56.870849,0 days 00:00:36.465098,Tanh,ReLU,Sigmoid,Sigmoid,,4,16,23.0,14.0,24.0,,0.0020750617608993683,4,100,0.7074915926828671,2.8068051961203853e-05,COMPLETE
92,0.1674879938364029,2023-08-31 23:26:56.871142,2023-08-31 23:27:38.029567,0 days 00:00:41.158425,Tanh,ReLU,Sigmoid,Sigmoid,,4,13,23.0,14.0,24.0,,0.0015004593080404885,4,100,0.7994609412086167,4.12086664861152e-05,COMPLETE
93,0.16975219547748566,2023-08-31 23:27:38.029848,2023-08-31 23:28:18.355987,0 days 00:00:40.326139,Tanh,ReLU,Sigmoid,Sigmoid,,4,13,23.0,16.0,24.0,,0.0019488831116584624,4,100,0.7688668326563911,4.172290596109971e-05,COMPLETE
94,0.19844281673431396,2023-08-31 23:28:18.356286,2023-08-31 23:28:58.301365,0 days 00:00:39.945079,Tanh,ReLU,Sigmoid,Sigmoid,,4,13,23.0,15.0,24.0,,0.0019283399840715936,4,100,0.7668467760770764,4.1377135100534195e-05,COMPLETE
95,0.17377464473247528,2023-08-31 23:28:58.301657,2023-08-31 23:29:38.721030,0 days 00:00:40.419373,Tanh,ReLU,Sigmoid,Sigmoid,,4,17,24.0,16.0,23.0,,0.0016215858930152599,4,100,0.7816027484669924,6.559022269057646e-05,COMPLETE
96,0.18196766078472137,2023-08-31 23:29:38.721320,2023-08-31 23:30:19.974402,0 days 00:00:41.253082,Tanh,ReLU,Sigmoid,Sigmoid,,4,17,24.0,16.0,24.0,,0.002437067317613195,4,100,0.795274799344374,9.792074760426286e-05,COMPLETE
97,0.18602333962917328,2023-08-31 23:30:19.974867,2023-08-31 23:30:55.497470,0 days 00:00:35.522603,Tanh,ReLU,Sigmoid,Sigmoid,,4,13,23.0,17.0,23.0,,0.001580897619101413,4,100,0.6991212103235539,6.815938899416485e-05,COMPLETE
98,0.18244725465774536,2023-08-31 23:30:55.497764,2023-08-31 23:31:37.910177,0 days 00:00:42.412413,Tanh,ReLU,Sigmoid,Sigmoid,ReLU,4,14,24.0,12.0,23.0,21.0,0.0019636673231955178,5,100,0.73071032793489,5.5254360238936103e-05,COMPLETE
