number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_activation6,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_fl6,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
81,0.1953602284193039,2023-09-01 23:54:02.223320,2023-09-01 23:54:13.104369,0 days 00:00:10.881049,Tanh,ReLU,Tanh,,,,8,13,4.0,21.0,,,,0.0013027170688725122,3,100,0.6858956720695563,0.000515312639011504,COMPLETE
82,0.20864540338516235,2023-09-01 23:54:13.104643,2023-09-01 23:54:23.284150,0 days 00:00:10.179507,Tanh,ReLU,Tanh,,,,8,17,7.0,19.0,,,,0.0006353589124546154,3,100,0.6375592514330816,0.0004148408665017851,COMPLETE
83,0.18529562652111053,2023-09-01 23:54:23.284417,2023-09-01 23:54:35.312515,0 days 00:00:12.028098,Tanh,Leaky,Tanh,,,,8,14,12.0,21.0,,,,0.001105168895685002,3,100,0.7523844053991753,0.00032551142601297344,COMPLETE
84,0.16366982460021973,2023-09-01 23:54:35.312793,2023-09-01 23:54:46.858643,0 days 00:00:11.545850,Tanh,ReLU,Tanh,,,,8,14,16.0,23.0,,,,0.0031264060375079143,3,100,0.7060359132192287,0.0007136373685131477,COMPLETE
85,0.16179440915584564,2023-09-01 23:54:46.858919,2023-09-01 23:54:59.300762,0 days 00:00:12.441843,Tanh,ReLU,ReLU,Leaky,,,10,15,15.0,23.0,20.0,,,0.0033139475228802016,4,100,0.7633852067085596,0.000650560386036926,COMPLETE
86,0.21240563690662384,2023-09-01 23:54:59.301044,2023-09-01 23:55:09.332240,0 days 00:00:10.031196,ReLU,Sigmoid,ReLU,Leaky,ReLU,,10,16,14.0,16.0,20.0,18.0,,0.002318461348035716,5,80,0.6644824284442571,0.0006003470061486522,COMPLETE
87,0.15370486676692963,2023-09-01 23:55:09.332531,2023-09-01 23:55:19.694295,0 days 00:00:10.361764,Leaky,Tanh,ReLU,Leaky,,,10,16,24.0,19.0,22.0,,,0.0040371171130466075,4,80,0.7619035088767304,0.001383547179341627,COMPLETE
88,0.16070276498794556,2023-09-01 23:55:19.694584,2023-09-01 23:55:30.278334,0 days 00:00:10.583750,Leaky,Tanh,ReLU,Leaky,,,10,18,24.0,19.0,22.0,,,0.003927261527957772,4,80,0.7690851351384446,0.0013837665902919373,COMPLETE
89,0.19771215319633484,2023-09-01 23:55:30.278619,2023-09-01 23:55:38.867691,0 days 00:00:08.589072,Leaky,Tanh,ReLU,Leaky,,,10,18,24.0,19.0,22.0,,,0.003982175779245623,4,80,0.6219904736710878,0.0017053196098120549,COMPLETE
90,0.18701176345348358,2023-09-01 23:55:38.867974,2023-09-01 23:55:48.174769,0 days 00:00:09.306795,Leaky,Tanh,ReLU,Leaky,,,10,20,24.0,17.0,18.0,,,0.0018527122375446422,4,80,0.718465208628276,0.0021040549100500177,COMPLETE
91,0.16868862509727478,2023-09-01 23:55:48.175051,2023-09-01 23:55:58.558815,0 days 00:00:10.383764,Leaky,Tanh,ReLU,Leaky,,,10,19,23.0,18.0,24.0,,,0.002576442396919497,4,80,0.769132885195374,0.0013393992757557115,COMPLETE
92,0.17158392071723938,2023-09-01 23:55:58.559099,2023-09-01 23:56:08.886326,0 days 00:00:10.327227,Leaky,Tanh,ReLU,Leaky,,,10,17,22.0,20.0,20.0,,,0.005092865559012683,4,80,0.7650910508725042,0.0009901254649766515,COMPLETE
93,0.1945231556892395,2023-09-01 23:56:08.886617,2023-09-01 23:56:17.933845,0 days 00:00:09.047228,Leaky,Tanh,ReLU,Leaky,,,10,19,13.0,22.0,22.0,,,0.003963479915712267,4,80,0.6713210879717495,0.0014926324337525092,COMPLETE
94,0.16454657912254333,2023-09-01 23:56:17.934132,2023-09-01 23:56:24.964098,0 days 00:00:07.029966,Leaky,Tanh,ReLU,Leaky,,,10,16,23.0,17.0,19.0,,,0.003335545113605363,4,60,0.7189406690388207,0.0010601397242115595,COMPLETE
95,0.17742536962032318,2023-09-01 23:56:24.964383,2023-09-01 23:56:34.613677,0 days 00:00:09.649294,Leaky,Tanh,ReLU,Leaky,Tanh,,10,17,24.0,19.0,22.0,7.0,,0.0016725312800045188,5,80,0.6568256525949915,0.0008568869359283495,COMPLETE
96,0.16325613856315613,2023-09-01 23:56:34.613967,2023-09-01 23:56:44.321511,0 days 00:00:09.707544,Leaky,Tanh,ReLU,Leaky,,,10,15,16.0,16.0,14.0,,,0.00210407792960811,4,80,0.776672415318056,0.0006886386434489184,COMPLETE
97,0.15003392100334167,2023-09-01 23:56:44.321792,2023-09-01 23:56:48.347395,0 days 00:00:04.025603,Leaky,ReLU,ReLU,Leaky,,,30,18,15.0,23.0,24.0,,,0.0061204833768301395,4,80,0.7717528701399581,0.0024233254603937718,COMPLETE
98,0.20707887411117554,2023-09-01 23:56:48.347676,2023-09-01 23:56:51.749155,0 days 00:00:03.401479,Leaky,Tanh,Sigmoid,Leaky,,,30,18,22.0,18.0,24.0,,,0.009340175737698398,4,80,0.7243460957244413,0.002670536864068647,COMPLETE
99,0.17213645577430725,2023-09-01 23:56:51.749441,2023-09-01 23:56:55.306114,0 days 00:00:03.556673,Leaky,Leaky,ReLU,Leaky,Tanh,,30,20,14.0,20.0,22.0,20.0,,0.006335815338219384,5,80,0.5875282828515903,0.0013112068715582588,COMPLETE
100,0.16681942343711853,2023-09-01 23:56:55.306407,2023-09-01 23:56:58.253022,0 days 00:00:02.946615,Leaky,Leaky,ReLU,Leaky,,,30,18,11.0,15.0,13.0,,,0.007855547827194576,4,80,0.6106988884489088,0.0016449359748404455,COMPLETE
