number,value,datetime_start,datetime_complete,duration,params_activation1,params_batch_size,params_fl1,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
81,0.2056746482849121,2023-09-01 23:06:06.485136,2023-09-01 23:06:10.907253,0 days 00:00:04.422117,Tanh,8,15,0.016884178419441374,1,60,0.7614055776490155,4.542649785330156e-05,COMPLETE
82,0.22067034244537354,2023-09-01 23:06:10.907503,2023-09-01 23:06:15.093354,0 days 00:00:04.185851,Sigmoid,8,14,0.024971731560202427,1,60,0.7218102525679799,5.591560023545826e-05,COMPLETE
83,0.181559756398201,2023-09-01 23:06:15.093619,2023-09-01 23:06:22.405564,0 days 00:00:07.311945,Tanh,4,15,0.013315900184659241,1,60,0.6596064410382092,3.88675584734688e-05,COMPLETE
84,0.2126813530921936,2023-09-01 23:06:22.405807,2023-09-01 23:06:24.960432,0 days 00:00:02.554625,ReLU,12,16,0.012703744948408615,1,60,0.6328191093841904,2.8784445270090274e-05,COMPLETE
85,0.20455902814865112,2023-09-01 23:06:24.960674,2023-09-01 23:06:31.391558,0 days 00:00:06.430884,Tanh,4,14,0.009954539136605852,1,60,0.5822371864753986,3.8094158293998025e-05,COMPLETE
86,0.19866156578063965,2023-09-01 23:06:31.391795,2023-09-01 23:06:43.452936,0 days 00:00:12.061141,Tanh,4,15,0.012899516128924317,1,100,0.658213997043012,6.814652024559874e-05,COMPLETE
87,0.22757400572299957,2023-09-01 23:06:43.453182,2023-09-01 23:06:48.607550,0 days 00:00:05.154368,Tanh,4,17,0.007162585435944688,1,40,0.7016008440655442,2.413474681359379e-05,COMPLETE
88,0.3113296926021576,2023-09-01 23:06:48.607787,2023-09-01 23:06:55.321305,0 days 00:00:06.713518,Leaky,4,16,0.03375742438546083,1,60,0.6090545336112823,1.9679089628058938e-05,COMPLETE
89,0.21123741567134857,2023-09-01 23:06:55.321550,2023-09-01 23:06:58.133515,0 days 00:00:02.811965,Tanh,16,13,0.009373723073439541,1,100,0.5357164507323312,1.4113692721307349e-05,COMPLETE
90,0.18224962055683136,2023-09-01 23:06:58.133753,2023-09-01 23:07:22.107888,0 days 00:00:23.974135,Sigmoid,2,14,0.005151468984177518,1,100,0.6677463273004853,1.0274842354741283e-05,COMPLETE
91,0.20713160932064056,2023-09-01 23:07:22.108153,2023-09-01 23:07:46.423455,0 days 00:00:24.315302,Sigmoid,2,14,0.015546905513609433,1,100,0.6787907407541272,1.106319898504077e-05,COMPLETE
92,0.20812737941741943,2023-09-01 23:07:46.423698,2023-09-01 23:08:09.151708,0 days 00:00:22.728010,Sigmoid,2,15,0.021675673358944714,1,100,0.6351662690068521,1.6416870978080823e-05,COMPLETE
93,0.20780670642852783,2023-09-01 23:08:09.151957,2023-09-01 23:08:34.833397,0 days 00:00:25.681440,Sigmoid,2,12,0.011602983484349837,1,100,0.7214892827626959,3.4268831593601067e-05,COMPLETE
94,0.1742347627878189,2023-09-01 23:08:34.833654,2023-09-01 23:09:02.471969,0 days 00:00:27.638315,Sigmoid,2,14,0.006660083561744225,1,100,0.7709258799299467,1.0218279656709404e-05,COMPLETE
95,0.2262110412120819,2023-09-01 23:09:02.472218,2023-09-01 23:09:30.062870,0 days 00:00:27.590652,Sigmoid,2,11,0.004716274114418455,1,100,0.7738141608459225,1.1661737785985048e-05,COMPLETE
96,0.2164452075958252,2023-09-01 23:09:30.063120,2023-09-01 23:09:57.489246,0 days 00:00:27.426126,Sigmoid,2,14,0.007376877653001293,1,100,0.7644846539481922,1.0560017499064223e-05,COMPLETE
97,0.19180679321289062,2023-09-01 23:09:57.489493,2023-09-01 23:10:12.063129,0 days 00:00:14.573636,Sigmoid,2,12,0.004943963876789467,1,60,0.6812774092182124,1.5030203501714207e-05,COMPLETE
98,0.1851625293493271,2023-09-01 23:10:12.063372,2023-09-01 23:10:38.279742,0 days 00:00:26.216370,Sigmoid,2,13,0.02591456804019628,1,100,0.7318743008855908,2.511546861714927e-05,COMPLETE
99,0.19401036202907562,2023-09-01 23:10:38.279988,2023-09-01 23:10:59.363795,0 days 00:00:21.083807,Sigmoid,2,13,0.01767503024164757,1,80,0.7339090180393617,2.581441228190053e-05,COMPLETE
100,0.2366267889738083,2023-09-01 23:10:59.364049,2023-09-01 23:11:27.180103,0 days 00:00:27.816054,Sigmoid,2,5,0.04938352813610478,1,100,0.7785964287297993,2.080804912966394e-05,COMPLETE
101,0.19653189182281494,2023-09-01 23:11:27.180357,2023-09-01 23:11:52.622702,0 days 00:00:25.442345,Sigmoid,2,14,0.02635914221476563,1,100,0.7127200002570773,1.5198080959949928e-05,COMPLETE
102,0.18751628696918488,2023-09-01 23:11:52.622964,2023-09-01 23:12:16.664176,0 days 00:00:24.041212,Sigmoid,2,15,0.009027771065460224,1,100,0.6714238546257628,3.17624903691091e-05,COMPLETE
103,0.19038143754005432,2023-09-01 23:12:16.664432,2023-09-01 23:12:45.078867,0 days 00:00:28.414435,Sigmoid,2,16,0.006175100283100836,1,100,0.7964286575694904,4.168993535495458e-05,COMPLETE
104,0.18195044994354248,2023-09-01 23:12:45.079120,2023-09-01 23:13:08.644799,0 days 00:00:23.565679,Sigmoid,2,13,0.01010125663731258,1,100,0.6583112088572958,3.223747776430991e-05,COMPLETE
105,0.22136040031909943,2023-09-01 23:13:08.645053,2023-09-01 23:13:30.721077,0 days 00:00:22.076024,Sigmoid,2,11,0.022670078088709536,1,100,0.6161893533272161,9.461375208170218e-05,COMPLETE
106,0.1791350543498993,2023-09-01 23:13:30.721321,2023-09-01 23:13:34.245890,0 days 00:00:03.524569,Sigmoid,10,13,0.015844246253865695,1,60,0.7380286021594185,5.397562766804079e-05,COMPLETE
107,0.21077272295951843,2023-09-01 23:13:34.246156,2023-09-01 23:13:40.059057,0 days 00:00:05.812901,Sigmoid,10,13,0.03106615171558404,1,100,0.7364043339142718,5.498846436725165e-05,COMPLETE
108,0.2058091014623642,2023-09-01 23:13:40.059304,2023-09-01 23:13:43.657912,0 days 00:00:03.598608,Sigmoid,10,13,0.013529332299929123,1,60,0.7615164848708386,7.200998189702888e-05,COMPLETE
109,0.21999169886112213,2023-09-01 23:13:43.658159,2023-09-01 23:13:45.738726,0 days 00:00:02.080567,Sigmoid,10,12,0.00970908213646985,1,40,0.6554614566958336,5.988086372690886e-05,COMPLETE
110,0.20569512248039246,2023-09-01 23:13:45.738974,2023-09-01 23:13:50.383477,0 days 00:00:04.644503,Sigmoid,10,10,0.0036873635100871764,1,100,0.5902903906792324,8.70433962961863e-05,COMPLETE
111,0.17864833772182465,2023-09-01 23:13:50.383747,2023-09-01 23:14:05.700343,0 days 00:00:15.316596,Sigmoid,2,14,0.016834044454142733,1,60,0.7095954037389129,4.7430066185582e-05,COMPLETE
112,0.2064840942621231,2023-09-01 23:14:05.700596,2023-09-01 23:14:21.176244,0 days 00:00:15.475648,Sigmoid,2,13,0.021206198143776372,1,60,0.7176722370794694,3.891070072486105e-05,COMPLETE
113,0.19929873943328857,2023-09-01 23:14:21.176496,2023-09-01 23:14:37.215778,0 days 00:00:16.039282,Sigmoid,2,12,0.028013912110540943,1,60,0.7444851903572901,4.5300620618756795e-05,COMPLETE
114,0.18729278445243835,2023-09-01 23:14:37.216022,2023-09-01 23:14:52.357727,0 days 00:00:15.141705,Sigmoid,2,14,0.016193154541500457,1,60,0.7024208464336318,2.6116385565170688e-05,COMPLETE
115,0.2046380639076233,2023-09-01 23:14:52.357979,2023-09-01 23:14:53.812718,0 days 00:00:01.454739,Sigmoid,30,14,0.01132768286495077,1,60,0.7733568369173182,7.041257474364131e-05,COMPLETE
116,0.24833229184150696,2023-09-01 23:14:53.812956,2023-09-01 23:15:07.468344,0 days 00:00:13.655388,Sigmoid,2,15,0.036496762706567404,1,60,0.6340849794719194,5.105756714128154e-05,COMPLETE
117,0.2117367833852768,2023-09-01 23:15:07.468601,2023-09-01 23:15:11.259312,0 days 00:00:03.790711,ReLU,12,13,0.00835918825785865,1,100,0.5630832212672705,0.00011413742748847781,COMPLETE
118,0.19118472933769226,2023-09-01 23:15:11.259576,2023-09-01 23:15:18.568271,0 days 00:00:07.308695,Sigmoid,4,16,0.0063804410424655456,1,60,0.6599248235706636,3.270222155998074e-05,COMPLETE
119,0.19059820473194122,2023-09-01 23:15:18.568525,2023-09-01 23:15:44.857271,0 days 00:00:26.288746,Sigmoid,2,11,0.01889085918687889,1,100,0.7331398502102597,8.13960203310266e-05,COMPLETE
120,0.20305824279785156,2023-09-01 23:15:44.857524,2023-09-01 23:15:48.639795,0 days 00:00:03.782271,Sigmoid,10,15,0.014174394393955429,1,60,0.7940950618221465,4.2013817185986535e-05,COMPLETE
121,0.2612638473510742,2023-09-01 23:15:48.640049,2023-09-01 23:16:03.305383,0 days 00:00:14.665334,Leaky,2,14,0.016144649263054874,1,60,0.6788889593181974,2.1009905211694727e-05,COMPLETE
122,0.19742906093597412,2023-09-01 23:16:03.305647,2023-09-01 23:16:05.514607,0 days 00:00:02.208960,Sigmoid,16,12,0.024306829983305762,1,60,0.7077618311403301,2.6090937410815136e-05,COMPLETE
