number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_batch_size,params_l_1,params_l_2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mse,state
90,0.3686428368091583,2023-10-30 13:46:14.698898,2023-10-30 13:46:15.050937,0 days 00:00:00.352039,Leaky,Sigmoid,59,22,12.0,0.07011956444427238,2,199,0.6631690436941776,0.000222088146699057,"tensor(0.3686, device='cuda:0')",COMPLETE
91,0.262236088514328,2023-10-30 13:46:15.051346,2023-10-30 13:46:15.755251,0 days 00:00:00.703905,Leaky,Sigmoid,55,23,13.0,0.05610920204504189,2,130,0.7961699854170103,0.00019363160721633347,"tensor(0.2622, device='cuda:0')",COMPLETE
92,0.26422250270843506,2023-10-30 13:46:15.755648,2023-10-30 13:46:16.237326,0 days 00:00:00.481678,Leaky,Sigmoid,55,23,13.0,0.05300450896009845,2,123,0.767382411854792,0.00020397438661359926,"tensor(0.2642, device='cuda:0')",COMPLETE
93,0.4937916100025177,2023-10-30 13:46:16.237708,2023-10-30 13:46:16.546341,0 days 00:00:00.308633,Leaky,Sigmoid,58,23,13.0,0.053174929786916084,2,130,0.6924869683150923,0.0002867238092212562,"tensor(0.4938, device='cuda:0')",COMPLETE
94,0.37916311621665955,2023-10-30 13:46:16.546742,2023-10-30 13:46:17.121210,0 days 00:00:00.574468,Leaky,Sigmoid,55,23,11.0,0.0663602720940122,2,104,0.7930522463133085,0.0001984693181114806,"tensor(0.3792, device='cuda:0')",COMPLETE
95,0.23231768608093262,2023-10-30 13:46:17.121613,2023-10-30 13:46:17.582551,0 days 00:00:00.460938,Leaky,Sigmoid,51,24,15.0,0.03727596671587994,2,148,0.7111514429569563,0.00014474442794911192,"tensor(0.2323, device='cuda:0')",COMPLETE
96,0.324661523103714,2023-10-30 13:46:17.582958,2023-10-30 13:46:18.070533,0 days 00:00:00.487575,Leaky,Sigmoid,62,24,15.0,0.05123784664021772,2,151,0.7127478481277008,0.00014038499842857486,"tensor(0.3247, device='cuda:0')",COMPLETE
97,0.297598272562027,2023-10-30 13:46:18.070937,2023-10-30 13:46:18.457824,0 days 00:00:00.386887,Leaky,Sigmoid,55,22,15.0,0.03702452480322003,2,130,0.6726919979844564,0.0003956072959489554,"tensor(0.2976, device='cuda:0')",COMPLETE
98,0.36513271927833557,2023-10-30 13:46:18.458214,2023-10-30 13:46:19.020688,0 days 00:00:00.562474,Leaky,Sigmoid,50,24,13.0,0.07860595073963152,2,167,0.7590813579525753,0.00016309221100303055,"tensor(0.3651, device='cuda:0')",COMPLETE
99,0.3429703712463379,2023-10-30 13:46:19.021073,2023-10-30 13:46:19.402147,0 days 00:00:00.381074,Leaky,Sigmoid,51,21,12.0,0.04449390090177361,2,121,0.6442695309292511,0.00012628641100812695,"tensor(0.3430, device='cuda:0')",COMPLETE
100,0.2780299186706543,2023-10-30 13:46:19.402538,2023-10-30 13:46:19.832167,0 days 00:00:00.429629,Leaky,Sigmoid,53,23,14.0,0.0355074926001099,2,84,0.7191804780018957,0.00022747073692661778,"tensor(0.2780, device='cuda:0')",COMPLETE
