number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
502,0.21015268564224243,Leaky,Sigmoid,Sigmoid,88,423,5,6.0,4.0,0.008790254531402619,3,0.7201397905590484,0.005106599039028462,0.8973950147628784,0.21015268564224243,0.8102686405181885,COMPLETE
503,0.20736554265022278,Leaky,Sigmoid,Sigmoid,88,424,5,6.0,4.0,0.009612561180744335,3,0.7074202942600177,0.005019973991686334,0.891656219959259,0.20736554265022278,0.8077554702758789,COMPLETE
504,0.20731212198734283,Leaky,Sigmoid,Sigmoid,88,424,5,6.0,4.0,0.009833422672108313,3,0.7159912928282586,0.005056320944285603,1.0306082963943481,0.20731212198734283,0.8099460601806641,COMPLETE
505,0.20846222341060638,Leaky,Sigmoid,Sigmoid,88,423,5,6.0,4.0,0.009763807166382327,3,0.7168311782995705,0.0049468535402279025,0.980553150177002,0.20846222341060638,0.8095070123672485,COMPLETE
506,0.21209967136383057,Leaky,Sigmoid,Sigmoid,89,422,5,6.0,4.0,0.010293041296201613,3,0.7149108170723396,0.005003060476650057,0.93606036901474,0.21209967136383057,0.8048508763313293,COMPLETE
507,0.2076481282711029,Leaky,Sigmoid,Sigmoid,88,420,5,6.0,4.0,0.009784053434362346,3,0.7149788942178036,0.004919676925455935,1.053693413734436,0.2076481282711029,0.8089466691017151,COMPLETE
508,0.20395293831825256,Leaky,Sigmoid,Sigmoid,88,420,6,6.0,4.0,0.008774253363021024,3,0.7162675988551632,0.004854416436843812,0.9498052000999451,0.20395293831825256,0.8130255937576294,COMPLETE
509,0.21149568259716034,Leaky,Sigmoid,Sigmoid,88,419,6,6.0,4.0,0.011098681091178871,3,0.6855732334596589,0.005100615740463117,1.123375654220581,0.21149568259716034,0.8083295226097107,COMPLETE
510,0.21623125672340393,Leaky,Sigmoid,Sigmoid,87,427,4,6.0,4.0,0.009218587829175517,3,0.7424524482864737,0.0051683881570423725,0.8317025303840637,0.21623125672340393,0.8038039803504944,COMPLETE
511,0.1878613978624344,Leaky,Sigmoid,Sigmoid,91,418,6,7.0,4.0,0.008906869438840191,3,0.6811859714948812,0.0043041750440873695,0.9873294830322266,0.1878613978624344,0.8324397206306458,COMPLETE
